Team Name,Team Code,Conf Code,Conf Name,Tot Off Pts,Tot Def Pts,Off Pts Per Drive,Def Pts Per Drive,Tot Off Yards,Tot Def Yards,Off Yards Per Drive,Def Yards Per Drive,Tot Expected Off Pts,Tot Expected Def Pts,Off Expected Pts Per Drive,Def Expected Pts Per Drive,Tot Expected Off Yds,Tot Expected Def Yds,Off Expected Yds Per Drive,Def Expected Yds Per Drive,Off Pts Per Drive over Expected,Def Pts Per Drive over Expected,Off Yards Per Drive over Expected,Def Yards Per Drive over Expected
Michigan State,416,827,Big Ten Conference,301,227,2.76146788991,2.14150943396,3843,3265,35.2568807339,30.8018867925,243.665685171,225.91332617,2.23546500157,2.13125779405,3254.48936717,3213.43115978,29.8577006162,30.3153882998,0.526002888336,0.0102516399089,5.39918011774,5.39918011774
Michigan,418,827,Big Ten Conference,288,101,2.52631578947,0.870689655172,3318,2137,29.1052631579,18.4224137931,274.167166785,243.129533988,2.40497514724,2.09594425852,3259.87347076,3534.57812512,28.5953813224,30.4705010786,0.121340642235,-1.22525460335,0.509881835473,0.509881835473
Middle Tennessee,419,24312,Conference USA,161,226,1.62626262626,2.21568627451,2827,3083,28.5555555556,30.2254901961,194.699372073,250.945294838,1.96666032397,2.46024798861,3124.41707347,2873.17326763,31.5597684189,28.1683653689,-0.340397697709,-0.244561714098,-3.00421286335,-3.00421286335
Minnesota,428,827,Big Ten Conference,210,202,1.70731707317,1.74137931034,3261,3000,26.512195122,25.8620689655,262.886887545,248.205178525,2.13729176866,2.13969981487,3736.16875595,3516.77515226,30.3753557394,30.3170271747,-0.429974695491,-0.398320504524,-3.86316061749,-3.86316061749
Mississippi State,430,911,Southeastern Conference,286,169,2.62385321101,1.46956521739,3776,3328,34.6422018349,28.9391304348,232.869704564,227.709283747,2.13641930793,1.98008072823,3285.59409954,3607.7478536,30.1430651334,31.3717204661,0.487433903079,-0.51051551084,4.49913670144,4.49913670144
Mississippi,433,911,Southeastern Conference,402,240,2.87142857143,1.73913043478,5230,3965,37.3571428571,28.731884058,312.638403182,297.492263423,2.2331314513,2.1557410393,4150.71533431,4152.30618847,29.6479666736,30.0891752787,0.638297120128,-0.416610604518,7.70917618353,7.70917618353
Missouri,434,911,Southeastern Conference,130,132,1.15044247788,1.1186440678,2555,2653,22.610619469,22.4830508475,238.820918909,250.376043055,2.11345945937,2.12183087334,3443.39719272,3593.02250759,30.4725415285,30.4493432846,-0.963016981493,-1.00318680555,-7.86192205951,-7.86192205951
North Carolina,457,821,Atlantic Coast Conference,360,168,3.42857142857,1.58490566038,4118,3020,39.219047619,28.4905660377,235.416996056,243.950357942,2.24206662911,2.30141847115,3095.42396372,3067.29183394,29.4802282259,28.9367154145,1.18650479946,-0.71651281077,9.73881939319,9.73881939319
Nebraska,463,827,Big Ten Conference,338,307,2.5223880597,2.22463768116,4426,4270,33.0298507463,30.9420289855,284.472961491,301.801646281,2.12293254844,2.18696845131,4103.39125697,4123.54938076,30.6223228132,29.8807926142,0.399455511265,0.0376692298486,2.40752793309,2.40752793309
UNLV,465,5486,Mountain West Conference,253,282,2.00793650794,2.16923076923,3671,4125,29.1349206349,31.7307692308,271.662517388,277.219365675,2.1560517253,2.13245665904,3781.34964537,3957.36354102,30.0107114712,30.4412580078,-0.148115217365,0.0367741101928,-0.875790836271,-0.875790836271
Nevada,466,5486,Mountain West Conference,242,232,2.10434782609,2.12844036697,3584,3547,31.1652173913,32.5412844037,230.304151366,233.089866828,2.00264479449,2.13843914521,3579.17866387,3306.28256858,31.1232927293,30.3328676016,0.101703031598,-0.00999877823859,0.0419246619981,0.0419246619981
New Mexico State,472,818,Sun Belt Conference,238,401,1.91935483871,3.18253968254,3961,5049,31.9435483871,40.0714285714,247.568177778,278.480807169,1.99651756273,2.21016513626,3856.4713337,3746.25664315,31.1005752718,29.7321955805,-0.0771627240196,0.97237454628,0.842973115337,0.842973115337
New Mexico,473,5486,Mountain West Conference,163,252,1.64646464646,2.44660194175,2793,3684,28.2121212121,35.7669902913,198.551177826,214.906497705,2.00556745278,2.0864708515,3086.12408714,3166.02948222,31.1729705771,30.7381503128,-0.35910280632,0.360131090244,-2.960849365,-2.960849365
North Carolina State,490,821,Atlantic Coast Conference,299,178,2.55555555556,1.48333333333,3622,2702,30.9572649573,22.5166666667,264.540364807,231.846158525,2.26102875903,1.93205132105,3457.80532011,3813.77911098,29.5538916249,31.7814925915,0.294526796525,-0.448717987712,1.40337333241,1.40337333241
North Texas,497,24312,Conference USA,150,332,1.51515151515,3.28712871287,3014,4214,30.4444444444,41.7227722772,206.196134804,212.386808732,2.08278924045,2.10283969042,3036.18902878,3078.47274638,30.6685760483,30.479928182,-0.567637725295,1.18428902245,-0.224131603867,-0.224131603867
Louisiana-Monroe,498,818,Sun Belt Conference,186,322,1.53719008264,2.68333333333,2948,3830,24.3636363636,31.9166666667,246.286482747,292.171394632,2.03542547725,2.43476162193,3766.90784697,3419.21596121,31.1314698096,28.4934663434,-0.498235394607,0.248571711401,-6.767833446,-6.767833446
Northern Illinois,503,875,Mid-American Conference,330,216,2.55813953488,1.62406015038,3856,3323,29.8914728682,24.984962406,288.956080981,290.989617063,2.23996962001,2.18789185762,3793.51201469,3975.21426725,29.4070698813,29.8888290771,0.318169914878,-0.56383170724,0.484402986934,0.484402986934
Northwestern,509,827,Big Ten Conference,178,170,1.48333333333,1.41666666667,3024,2932,25.2,24.4333333333,243.125828548,257.507852553,2.02604857123,2.14589877127,3723.45575148,3652.43431911,31.028797929,30.4369526593,-0.542715237901,-0.729232104606,-5.82879792898,-5.82879792898
Notre Dame,513,99001,Independent,331,210,2.90350877193,1.77966101695,4355,3130,38.201754386,26.5254237288,241.430670316,244.310904315,2.11781289751,2.0704313925,3467.56226224,3611.00045962,30.4172128266,30.6016988104,0.78569587442,-0.29077037555,7.78454155933,7.78454155933
Old Dominion,523,24312,Conference USA,188,222,1.82524271845,2.3125,2711,2801,26.3203883495,29.1770833333,245.412815455,254.018547448,2.38264869373,2.64602653592,2941.87731575,2544.18219802,28.5619156869,26.501897896,-0.557405975287,-0.333526535915,-2.24152733741,-2.24152733741
Ohio State,518,827,Big Ten Conference,308,165,2.44444444444,1.32,3882,3046,30.8095238095,24.368,287.439170927,238.902657081,2.28126326132,1.91122125664,3683.66047937,3983.70314707,29.23540063,31.8696251765,0.163181183122,-0.591221256644,1.57412317956,1.57412317956
Ohio,519,875,Mid-American Conference,242,246,2.26168224299,2.25688073394,3808,3673,35.5887850467,33.6972477064,223.544275873,214.645153628,2.08919883994,1.96922159292,3287.19199989,3450.8019915,30.7214205597,31.658733867,0.172483403053,0.287659141023,4.86736448704,4.86736448704
Oklahoma State,521,25354,Big 12 Conference,362,241,2.828125,1.77205882353,4551,3848,35.5546875,28.2941176471,285.061007557,276.400561322,2.22703912154,2.03235706854,3794.22437083,4248.47460574,29.6423778971,31.2387838658,0.601085878463,-0.260298245015,5.91230960289,5.91230960289
Oklahoma,522,25354,Big 12 Conference,348,174,3.13513513514,1.5,4281,2902,38.5675675676,25.0172413793,253.453511581,239.42369786,2.2833649692,2.06399739535,3244.93349511,3586.54999866,29.233635091,30.9185344712,0.851770165933,-0.563997395348,9.33393247653,9.33393247653
Oregon State,528,905,Pac-12 Conference,156,271,1.39285714286,2.3982300885,2876,3692,25.6785714286,32.6725663717,226.330572212,239.508725771,2.02080868046,2.11954624576,3489.76104579,3431.71329447,31.158580766,30.3691441988,-0.627951537604,0.278683842733,-5.48000933738,-5.48000933738
Oregon,529,905,Pac-12 Conference,328,313,2.5625,2.40769230769,4547,4301,35.5234375,33.0846153846,289.260977947,281.185690075,2.25985139021,2.16296684673,3772.7318194,3918.90825783,29.4744673391,30.1454481371,0.302648609791,0.244725460961,6.04897016092,6.04897016092
Penn State,539,827,Big Ten Conference,242,171,1.77941176471,1.24817518248,3407,2909,25.0514705882,21.2335766423,302.816888726,287.727281853,2.22659477004,2.10019913761,4053.65661093,4207.97446201,29.8062986098,30.7151420585,-0.447183005336,-0.852023955132,-4.75482802152,-4.75482802152
Pittsburgh,545,821,Atlantic Coast Conference,232,213,2.20952380952,1.99065420561,3331,3014,31.7238095238,28.1682242991,230.261599286,211.066793473,2.19296761225,1.97258685488,3131.5329025,3353.18885509,29.8241228809,31.3382135989,0.0165561972742,0.0180673507235,1.89968664288,1.89968664288
